297762,28,Acción
297762,12,Aventura
297762,14,Fantasía
299537,28,Acción
299537,12,Aventura
299537,878,Ciencia ficción
1147400,16,Animación
1147400,12,Aventura
1147400,28,Acción
1147400,14,Fantasía
1147400,10751,Familia
284054,28,Acción
284054,12,Aventura
284054,878,Ciencia ficción
1366,18,Drama
126889,878,Ciencia ficción
126889,27,Terror
126889,9648,Misterio
760104,27,Terror
760104,53,Suspense
760104,9648,Misterio
348,27,Terror
348,878,Ciencia ficción
293660,28,Acción
293660,12,Aventura
293660,35,Comedia
62,878,Ciencia ficción
62,9648,Misterio
62,12,Aventura
27205,28,Acción
27205,878,Ciencia ficción
27205,12,Aventura
680,53,Suspense
680,80,Crimen
16320,878,Ciencia ficción
16320,28,Acción
16320,12,Aventura
16320,53,Suspense
141,14,Fantasía
141,18,Drama
141,9648,Misterio
490132,18,Drama
490132,36,Historia
206647,28,Acción
206647,12,Aventura
206647,53,Suspense
967847,14,Fantasía
967847,12,Aventura
967847,35,Comedia
739547,16,Animación
739547,14,Fantasía
739547,10751,Familia
49047,878,Ciencia ficción
49047,53,Suspense
49047,18,Drama
359410,28,Acción
359410,53,Suspense
400928,18,Drama
400928,35,Comedia
617127,14,Fantasía
1700,18,Drama
1700,53,Suspense
1093995,28,Acción
1093995,53,Suspense
843527,10749,Romance
843527,35,Comedia
843527,18,Drama
699280,99,Documental
106,878,Ciencia ficción
106,28,Acción
106,12,Aventura
106,53,Suspense
807,80,Crimen
807,9648,Misterio
807,53,Suspense
381288,27,Terror
381288,53,Suspense
329865,18,Drama
329865,878,Ciencia ficción
329865,9648,Misterio
601796,878,Ciencia ficción
601796,28,Acción
601796,14,Fantasía
601796,12,Aventura
526896,28,Acción
526896,878,Ciencia ficción
526896,14,Fantasía
615777,18,Drama
615777,35,Comedia
5548,28,Acción
5548,53,Suspense
5548,878,Ciencia ficción
1701,28,Acción
1701,53,Suspense
1701,80,Crimen
1094844,28,Acción
1094844,878,Ciencia ficción
320288,878,Ciencia ficción
320288,28,Acción
320288,12,Aventura
157336,12,Aventura
157336,18,Drama
157336,878,Ciencia ficción
1924,878,Ciencia ficción
1924,28,Acción
1924,12,Aventura
597891,28,Acción
339846,35,Comedia
339846,28,Acción
339846,80,Crimen
955555,28,Acción
955555,80,Crimen
955555,35,Comedia
955555,53,Suspense
609681,878,Ciencia ficción
609681,12,Aventura
609681,28,Acción
378018,9648,Misterio
378018,27,Terror
378018,878,Ciencia ficción
76341,28,Acción
76341,12,Aventura
76341,878,Ciencia ficción
15,9648,Misterio
15,18,Drama
68730,18,Drama
68730,36,Historia
284052,28,Acción
284052,12,Aventura
284052,14,Fantasía
2666,9648,Misterio
2666,878,Ciencia ficción
1211728,27,Terror
1087388,27,Terror
1087388,53,Suspense
1087388,27,Terror
1087388,53,Suspense
395990,28,Acción
395990,80,Crimen
395990,18,Drama
395990,53,Suspense
